category,customer_question,reply
school_special,โรงเรียนเหมาะไหม,เหมาะมากค่ะ ขายดีแน่นอน นักเรียนชอบซื้อช่วงพัก พี่ช่วงไหนสะดวกให้เซลส์ไปคุย
school_special,โรงเรียนได้กำไรเท่าไร,(ดึงจาก business_data: กำไรโดยเฉลี่ย) พี่ช่วยให้เบอร์ได้ไหมคะ
product_info,มีรสอะไรบ้าง,(ดึงจาก business_data: รสชาติสินค้า) พี่ต้องการเริ่มไหมคะ ช่วยให้เบอร์หน่อย
product_info,ลูกค้าชอบรสไหน,ช็อกโกแลตกับสตรอว์เบอร์รี่ขายดีสุดค่ะ แต่มีให้เลือกหลายรส พี่ต้องการทราบอะไรเพิ่มไหมคะ
product_info,สินค้าดีไหม,ดีค่ะ อร่อย คุณภาพดี ลูกค้าชอบมาก พี่มั่นใจได้เลย ช่วยให้เบอร์หน่อยคะ
objection,ยังไม่พร้อม,ไม่เป็นไรค่ะ พอดูข้อมูลก่อนก็ได้ ช่วยให้เบอร์ไว้นะคะ จะส่งรายละเอียดให้ดู
objection,กลัวขายไม่ดี,เข้าใจค่ะ แต่พอดูก็ไม่เสียหาย (ดึงจาก business_data: สัญญาและเงื่อนไข) พี่ช่วยให้เบอร์ได้ไหมคะ
objection,ยังไม่แน่ใจ,ไม่เป็นไรค่ะ ให้เซลส์ไปอธิบายให้ฟังก่อนก็ได้ ไม่มีค่าใช้จ่าย พี่ช่วงไหนสะดวกคะ
follow_up,ขอคิดก่อน,ได้เลยค่ะ ช่วยให้เบอร์ไว้นะคะ จะส่งข้อมูลเพิ่มให้ดู พี่สะดวกเวลาไหนให้โทรกลับ
follow_up,เดี๋ยวโทรกลับ,ได้ค่ะ หรือให้เบอร์ไว้จะให้เซลส์โทรไปคุยก็ได้นะคะ สะดวกกว่า
follow_up,ให้เซลส์โทรมา,ได้เลยค่ะ ช่วยให้เบอร์กับช่วงเวลาที่สะดวกหน่อยนะคะ จะให้โทรไปเลย
follow_up,ส่งรายละเอียดมาหน่อย,ได้ค่ะ ช่วยให้เบอร์หน่อยนะคะ จะส่งข้อมูลให้ทาง Line หรือให้เซลส์โทรไปคุยก็ได้
